City,State,Country,Property Type Cleaned,Sub-Area Cleaned,Company Name Cleaned,TownShip Cleaned,Description Cleaned,ClubHouse Cleaned,School Cleaned,Hospital Cleaned,Mall Cleaned,Park Cleaned,Pool Cleaned,Gym Cleaned,Area Cleaned,Price Cleaned,Description Processed,Noun_Counts,Verb_Counts,Adjective_Counts,Price by sub-area,Amenities score,Price by Amenities score
pune,maharashtra,india,4.0,ravet,urban space creator,urban skyline,"the newly launched project has podium level amenities that speak the language of great design and functionality.the township is nestled at the intersection of three major routes viz. old nh-4 highway, katraj-dehu road and mumbai-pune expressway.",1,0,0,0,1,1,1,1644.0,135.0,newly launched project podium level amenities speak language great design functionalitythe township nestled intersection three major routes viz old nh4 highway katrajdehu road mumbaipune expressway,15,4,4,86.58333333333333,4,98.58288659793813
pune,maharashtra,india,5.0,ravet,urban space creator,urban skyline,"located in north-western pune, it is surrounded with natural greens and gets ample fresh air. also offers with many temples and churches nearby for religious activities to be done. it also comes with a package of swimming pools, gym and etc.",1,0,0,0,1,1,1,1662.9,188.0,located northwestern pune surrounded natural greens gets ample fresh air also offers many temples churches nearby religious activities done also comes package swimming pools gym etc,9,7,7,86.58333333333333,4,98.58288659793813
pune,maharashtra,india,6.0,ravet,urban space creator,urban skyline,urban space creator is amongst the best project in pune using modern technology construction for superstructure called alu-form system wherein walls and slabs for a typical floor gets cast at one time.,1,0,0,0,1,1,1,1662.9,188.0,urban space creator amongst best project pune using modern technology construction superstructure called aluform system wherein walls slabs typical floor gets cast one time,13,4,4,86.58333333333333,4,98.58288659793813
pune,maharashtra,india,2.0,baner,vtp reality,vtp cierra,vtp cierra is a smartly designed project of 2bhk apartments by vtp reality. vtp cierra offers you state of the art amenities and at the same time is budget friendly.,1,0,0,0,1,1,1,753.5,58.0,vtp cierra smartly designed project 2bhk apartments vtp reality vtp cierra offers state art amenities time budget friendly,13,1,1,132.96499999999997,4,98.58288659793813
pune,maharashtra,india,3.0,baner,vtp reality,vtp cierra,"vtp cierra is a smartly designed project of 2bhk apartments by vtp reality. it has various schools, colleges, hospitals, eateries , malls , banks and atm's nearby.",1,0,0,0,1,1,1,1051.0,95.0,vtp cierra smartly designed project 2bhk apartments vtp reality various schools colleges hospitals eateries malls banks atms nearby,11,2,2,132.96499999999997,4,98.58288659793813
pune,maharashtra,india,1.0,mahalunge,vtp reality,vtp blue water,"vtp blue water offers you state of the art amenities and at the same time is budget friendly too each apartment is designed with utmost precision and planned to perfection, with temples surrounded and fresh environment around",1,0,0,0,1,1,1,423.0,40.0,vtp blue water offers state art amenities time budget friendly apartment designed utmost precision planned perfection temples surrounded fresh environment around,13,3,4,73.55555555555556,4,98.58288659793813
pune,maharashtra,india,2.0,mahalunge,vtp reality,vtp blue water,"each apartment in vtp blue wateris designed with utmost precision and planned to perfection.its strategic location gives you close proximity to pune airport, business bay , kharadi, shivajinagar, pune- mumbai highway, nagar road, phoenix market city, poona club.",1,0,0,0,1,1,1,665.0,58.0,apartment vtp blue wateris designed utmost precision planned perfectionits strategic location gives close proximity pune airport business bay kharadi shivajinagar pune mumbai highway nagar road phoenix market city poona club,22,3,4,73.55555555555556,4,98.58288659793813
pune,maharashtra,india,3.0,mahalunge,vtp reality,vtp blue water,"vtp blue water is a smartly designed project of 2bhk apartments by vtp reality. its strategic location gives you close proximity to pune airport, business bay , kharadi, shivajinagar, pune- mumbai highway, nagar road, phoenix market city, poona club.",1,0,0,0,1,1,1,878.5,78.0,vtp blue water smartly designed project 2bhk apartments vtp reality strategic location gives close proximity pune airport business bay kharadi shivajinagar pune mumbai highway nagar road phoenix market city poona club,22,2,4,73.55555555555556,4,98.58288659793813
pune,maharashtra,india,1.0,ravet,waghvani constructions,om mangalam chaitanya,"the project boasts 6 elegant towers of 11 & 12 stories, offering 2 & 3 bedroom apartment in ravet pune with the quality specification and great community living in form of amenities like a well-equipped clubhouse, swimming pool, children's play park and a gym area.",1,0,0,0,1,1,1,462.0,36.0,project boasts elegant towers stories offering bedroom apartment ravet pune quality specification great community living form amenities like wellequipped clubhouse swimming pool childrens play park gym area,16,7,3,86.58333333333333,4,98.58288659793813
pune,maharashtra,india,2.0,ravet,waghvani constructions,om mangalam chaitanya,"booming with commercial and residential growth, infrastructural development and high appreciation, ravet is the next big destination, with our humongorous om mangalam chaitanya property being there.offers you state of the art amenities and at the same time is budget friendly.",1,0,0,0,1,1,1,666.0,48.0,booming commercial residential growth infrastructural development high appreciation ravet next big destination humongorous mangalam chaitanya property thereoffers state art amenities time budget friendly,14,1,7,86.58333333333333,4,98.58288659793813
pune,maharashtra,india,2.0,ravet,sukwani associates,sukwani aspire,"the robust infrastructure, quality materials, thoughtful design, and impressive facades are a hallmark of excellence developed by godrej properties. it also come with a swimming pool and a gym for physical activities",1,0,0,0,1,1,1,750.0,57.0,robust infrastructure quality materials thoughtful design impressive facades hallmark excellence developed godrej properties also come swimming pool gym physical activities,10,4,5,86.58333333333333,4,98.58288659793813
pune,maharashtra,india,3.0,ravet,sukwani associates,sukwani aspire,"welcome to sukwani aspire – flats in ravet an excellent opportunity in a rapidly growing residential area for a great living. situated in ravet, sukwani aspire location translates into an advantageous investment in east pune’s most flourishing location.",1,0,0,0,1,1,1,1030.0,79.0,welcome sukwani aspire flats ravet excellent opportunity rapidly growing residential area great living situated ravet sukwani aspire location translates advantageous investment east punes flourishing location,13,5,6,86.58333333333333,4,98.58288659793813
pune,maharashtra,india,1.0,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold is a wonderful property offering 1 bedroom apartments with ready lifestyle amenities. from health to nature to entertainment, it offers a complete package to satisfy everyone in your family. in short, mantra 29 gold is the best value that you will get for your money.",1,0,0,0,1,0,1,446.0,37.0,mantra gold wonderful property offering bedroom apartments ready lifestyle amenities health nature entertainment offers complete package satisfy everyone family short mantra gold best value get money,16,4,6,66.310625,3,69.04065217391305
pune,maharashtra,india,2.0,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold is a wonderful property offering 2 bedroom apartments with ready lifestyle amenities. from health to nature to entertainment, it offers a complete package to satisfy everyone in your family.",1,0,0,0,1,0,1,796.0,57.0,mantra gold wonderful property offering bedroom apartments ready lifestyle amenities health nature entertainment offers complete package satisfy everyone family,12,3,4,66.310625,3,69.04065217391305
pune,maharashtra,india,2.0,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold comes with connectivity to the kharadi it hub and the booming industrial belt of rajangaon-lonikand, kharadi is fast transforming into pune’s most sought-after destination. easy accessibility to pune airport, star hotels and lifestyle malls adds greater value for a convenient and happy lifestyle.",1,0,0,0,1,0,1,842.0,59.0,mantra gold comes connectivity kharadi hub booming industrial belt rajangaonlonikand kharadi fast transforming punes soughtafter destination easy accessibility pune airport star hotels lifestyle malls adds greater value convenient happy lifestyle,18,6,5,66.310625,3,69.04065217391305
pune,maharashtra,india,2.0,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold offers you state of the art amenities and at the same time is budget friendly. proximity to kalyani nagar, ranjangaon industrial area, and it hubs at kharadi, kalyani nagar, and magarpatta.",1,0,0,0,1,0,1,865.0,61.0,mantra gold offers state art amenities time budget friendly proximity kalyani nagar ranjangaon industrial area hubs kharadi kalyani nagar magarpatta,15,2,3,66.310625,3,69.04065217391305
pune,maharashtra,india,2.0,kharadi,mantra properties,mantra 29 gold,"easy access to the upcoming metro station under the proposed metro phase – 1 (linking vanaz to ramwadi). more than 400 resident families at mantra 29 gold are already enjoying a happy lifestyle, which makes this your best choice",1,0,0,0,1,0,1,902.0,63.0,easy access upcoming metro station proposed metro phase linking vanaz ramwadi 400 resident families mantra gold already enjoying happy lifestyle makes best choice,8,6,7,66.310625,3,69.04065217391305
pune,maharashtra,india,2.0,kharadi,mantra properties,mantra 29 gold,mantra properties proudly presents the gold standard in community living.these imposing 32 storey towers are spread over a sprawling 7 acres. close to star hotels and lifestyle. easy connectivity to pune airport.,1,0,0,0,1,0,1,1154.0,79.0,mantra properties proudly presents gold standard community livingthese imposing storey towers spread sprawling acres close star hotels lifestyle easy connectivity pune airport,10,4,6,66.310625,3,69.04065217391305
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,"designed by p&t singapore, one of the worlds best architect firms, the homes are seamless blend of the mantra 29 gold standard of lifestyle and affordability. on the inside, its compact 1,2 & 3 bhk apartements offer you an exceptional lifestyle. with all basic amenities included.",1,0,0,0,1,0,1,872.0,61.0,designed singapore one worlds best architect firms homes seamless blend mantra gold standard lifestyle affordability inside compact bhk apartements offer exceptional lifestyle basic amenities included,11,4,6,66.310625,3,69.04065217391305
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,"welcome to mantra 29 gold – 3 bhk flats in kharadi an excellent opportunity in a rapidly growing residential area for a great living.amenities area reserved at the top terrace, indoor games for children on the 7th floor and a 2 – level parking for convenience make this project truly unique.",1,0,0,0,1,0,1,934.0,65.0,welcome mantra gold bhk flats kharadi excellent opportunity rapidly growing residential area great livingamenities area reserved top terrace indoor games children 7th floor level parking convenience make project truly unique,18,4,6,66.310625,3,69.04065217391305
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold's – 3 bhk flats, location translates into an advantageous investment in east pune’s most flourishing location. with connectivity to wadgaon sheri, pune it hub and the booming industrial belt of ranjangaon – lonikand, kharadi near pune is fast transforming into pune’s most sought-after destination.",1,0,0,0,1,0,1,1088.0,73.0,mantra golds bhk flats location translates advantageous investment east punes flourishing location connectivity wadgaon sheri pune hub booming industrial belt ranjangaon lonikand kharadi near pune fast transforming punes soughtafter destination,18,6,3,66.310625,3,69.04065217391305
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold offers stylish 3 bedroom apartments.easy accessibility to pune airport, star hotels and lifestyle malls add greater value for a convenient and happy lifestyle.",1,0,0,0,1,0,1,1109.0,76.0,mantra gold offers stylish bedroom apartmentseasy accessibility pune airport star hotels lifestyle malls add greater value convenient happy lifestyle,13,2,4,66.310625,3,69.04065217391305
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,"with over 50+ years of excellence in real estate executing successful commercial and residential projects, mega townships, it parks, retail malls in pune, this is one of our best. it come with a huge swimming pool, a well built gym and a recreational club.",1,0,0,0,1,0,1,1163.0,80.0,50+ years excellence real estate executing successful commercial residential projects mega townships parks retail malls pune one best come huge swimming pool well built gym recreational club,10,3,10,66.310625,3,69.04065217391305
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold project has 2 &3 bhk flats in kharadi, pune. it is a new residential construction in pune. the project is nestled amongst reputed eon & ravet it parks, world-class amanora & seasons malls. the project offers flats for sale in kharadi.",1,0,0,0,1,0,1,1419.0,96.0,mantra gold project bhk flats kharadi pune new residential construction pune project nestled amongst reputed eon ravet parks worldclass amanora seasons malls project offers flats sale kharadi,16,5,5,66.310625,3,69.04065217391305
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold is one of the top residential hubs in pune, it is well-connected to other parts of pune such as pimpri and talegaon. areas like aundh, wakad etc. are also easily accessible from the region.",1,0,0,0,1,0,1,1485.0,100.0,mantra gold one top residential hubs pune wellconnected parts pune pimpri talegaon areas like aundh wakad etc also easily accessible region,10,3,4,66.310625,3,69.04065217391305
pune,maharashtra,india,2.0,balewadi,mantra properties,mantra monarch,"the newly launched project mantra 29 gold has podium level amenities that speak the language of great design. the township is nestled at the intersection of 2 major routes , old nh-4 highway and mumbai-pune expressway.",1,0,0,0,1,1,1,684.0,70.0,newly launched project mantra gold podium level amenities speak language great design township nestled intersection major routes old nh4 highway mumbaipune expressway,14,3,4,83.75,4,98.58288659793813
pune,maharashtra,india,3.0,balewadi,mantra properties,mantra monarch,"located in south-western pune, it is surrounded with natural greens and gets ample fresh air. also offers with many temples and churches nearby for religious activities to be done. it also comes with a package of swimming pools, gym and club house with ample of amenities etc.",1,0,0,0,1,1,1,990.0,90.0,located southwestern pune surrounded natural greens gets ample fresh air also offers many temples churches nearby religious activities done also comes package swimming pools gym club house ample amenities etc,11,8,8,83.75,4,98.58288659793813
pune,maharashtra,india,2.0,koregaon park,mantra properties,infinity,"infinity is amongst the best project in pune using modern technology construction for superstructure called alu-form system wherein walls and slabs for a typical floor gets cast at one time.multipurpose hall with outdoor party terrace,gymnasium,indoor kids’ play area with games room.",1,0,0,0,1,1,1,882.0,97.0,infinity amongst best project pune using modern technology construction superstructure called aluform system wherein walls slabs typical floor gets cast one timemultipurpose hall outdoor party terrace gymnasium indoor kids play area games room,22,6,3,108.5,4,98.58288659793813
pune,maharashtra,india,3.0,koregaon park,mantra properties,infinity,"infinity offers a a serene and peaceful ambience, easy connectivity to pune airport, close to star hotels and lifestyle malls like phoenix market city, amonora town centre and seasons mall.",1,0,0,0,1,1,1,1103.0,120.0,infinity offers serene peaceful ambience easy connectivity pune airport close star hotels lifestyle malls like phoenix market city amonora town centre seasons mall,14,4,4,108.5,4,98.58288659793813
pune,maharashtra,india,1.0,keshav nagar,mantra properties,mantra insignia,"mantra insignia – 1 bhk flats in keshav nagar, pune. mantra insignia is as much of a nature lover’s paradise as it is a delight for the aficionados of gracious living.",1,0,0,0,1,1,1,543.0,42.0,mantra insignia bhk flats keshav nagar pune mantra insignia much nature lovers paradise delight aficionados gracious living,9,2,5,49.5,4,98.58288659793813
pune,maharashtra,india,2.0,keshav nagar,mantra properties,mantra insignia,"manta insignia located in the prime locality of keshav nagar, this residential property is the perfect abode for those who prefer a home away from the madding crowds, and yet want to be connected to the trappings of modern living.",1,0,0,0,1,1,1,963.0,57.0,manta insignia located prime locality keshav nagar residential property perfect abode prefer home away madding crowds yet want connected trappings modern living,10,5,5,49.5,4,98.58288659793813
pune,maharashtra,india,1.0,kirkatwadi sinhagad road,mantra properties,7hills,"brilliant architecture, spectacular designs, marvellous finesse all these are yet a notch lower than what defines7 hills at kirkatwadi sinhagad road . enwrapped in the swarovski glamour, these edifices host 1,2 and 3 bedroom luxury apartments in kirkatwadi sinhagad road, punes burgeoning east.",1,0,0,0,1,1,1,421.5,36.0,brilliant architecture spectacular designs marvellous finesse yet notch lower defines7 hills kirkatwadi sinhagad road enwrapped swarovski glamour edifices host bedroom luxury apartments kirkatwadi sinhagad road punes burgeoning east,14,6,7,36.0,4,98.58288659793813
pune,maharashtra,india,2.0,kirkatwadi sinhagad road,mantra properties,7hills,"whether you are looking for a cozy, comfortable home amidst nature, or an astute investment that is bound to give high returns, 7 hills qualifies on all counts with,swimming pool, clubhouse,fully equipped gymnasium and children’s play area.",1,0,0,0,1,1,1,473.0,36.0,whether looking cozy comfortable home amidst nature astute investment bound give high returns hills qualifies counts swimming pool clubhouse fully equipped gymnasium childrens play area,14,6,3,36.0,4,98.58288659793813
pune,maharashtra,india,3.0,kirkatwadi sinhagad road,mantra properties,7hills,"7 hill, a 400 acre destination at kirkatwadi sinhagad road is the long-awaited response for progressive, luxurious, world-class projects in pune. it has house premium projects that offer all lifestyle experiences, without the urban difficulties of pollution, traffic, space congestion and more.",1,0,0,0,1,1,1,581.0,36.0,hill 400 acre destination kirkatwadi sinhagad road longawaited response progressive luxurious worldclass projects pune house premium projects offer lifestyle experiences without urban difficulties pollution traffic space congestion,17,3,5,36.0,4,98.58288659793813
pune,maharashtra,india,2.0,akurdi,mantra properties,mantra sky tower,"mantra sky tower also offers to create an enthralling living experience that is harmonious and sensitive to the surrounding ecology, and yet facilitates a high-quality lifestyle that is built on robust foundations of universal design and world-class infrastructure. the 400-acre project would be developed in multiple phases and may contain it parks, schools, hospitals, multiplexes and much more.",1,0,0,0,1,1,1,790.0,80.0,mantra sky tower also offers create enthralling living experience harmonious sensitive surrounding ecology yet facilitates highquality lifestyle built robust foundations universal design worldclass infrastructure 400acre project would developed multiple phases may contain parks schools hospitals multiplexes much,16,8,7,109.66666666666667,4,98.58288659793813
pune,maharashtra,india,2.0,akurdi,mantra properties,mantra sky tower,"welcome to mantra sky tower. a project that lives up to its name in every which way you see. sky tower is truly surrounded by luxury from all sides. and yet, it plays the perfect host to nature. if you are the sort who loves to come home to luxury that is not obtrusive, or overbearing, but has a delightful joie de vivre about it, you will not be disappointed.",1,0,0,0,1,1,1,820.0,83.0,welcome mantra sky tower project lives name every way see sky tower truly surrounded luxury sides yet plays perfect host nature sort loves come home luxury obtrusive overbearing delightful joie vivre disappointed,15,7,6,109.66666666666667,4,98.58288659793813
pune,maharashtra,india,3.0,akurdi,mantra properties,mantra sky tower,"mantra sky tower – affords you the unique privilege of being cocooned in your own private domain, away from the prying world, while giving you swift and ready access to your city needs and its bright lights. whether its shopping, your kid’s school, or healthcare – it is all just a few minutes’ drive away from home.",1,0,0,0,1,1,1,989.0,101.0,mantra sky tower affords unique privilege cocooned private domain away prying world giving swift ready access city needs bright lights whether shopping kids school healthcare minutes drive away home,15,4,7,109.66666666666667,4,98.58288659793813
pune,maharashtra,india,3.0,akurdi,mantra properties,mantra sky tower,"peninsula provides easy connectivity to kothrud, baner, balewadi, hinjewadi it park, pashan, aundh, besides pune-mumbai and mumbaibengaluru highway.ammenities like,tennis court and multi purpose hall are available.",1,0,0,0,1,1,1,1003.0,103.0,peninsula provides easy connectivity kothrud baner balewadi hinjewadi park pashan aundh besides punemumbai mumbaibengaluru highwayammenities like tennis court multi purpose hall available,13,2,4,109.66666666666667,4,98.58288659793813
pune,maharashtra,india,3.0,akurdi,mantra properties,mantra sky tower,"the mantra project boasts 5 elegant towers of 12 stories each, offering 2 & 3 bedroom apartment in akurdi pune with the quality specification, pleasing design, and great community living in form of amenities like a well-equipped clubhouse, swimming pool, children’s play park, and landscape garden.",1,0,0,0,1,1,1,1182.0,128.0,mantra project boasts elegant towers stories offering bedroom apartment akurdi pune quality specification pleasing design great community living form amenities like wellequipped clubhouse swimming pool childrens play park landscape garden,17,8,4,109.66666666666667,4,98.58288659793813
pune,maharashtra,india,5.0,akurdi,mantra properties,mantra sky tower,"with shopping, entertainment, education, health, and transport facilities within 3 to 10 km vicinity, mantra sky tower – a complete package of quality living with happiness and peace of mind!",1,0,0,0,1,1,1,1579.0,163.0,shopping entertainment education health transport facilities within vicinity mantra sky tower complete package quality living happiness peace mind,13,2,2,109.66666666666667,4,98.58288659793813
pune,maharashtra,india,0.0,pimpri pune,ravima ventures,the work club,"the ravima project boasts 5 elegant towers of 12 stories each, offering 2 & 3 bedroom apartment in pimpri pune with the quality specification, pleasing design, and great community living in form of amenities like a well-equipped children’s play park, and landscape garden.",0,0,0,0,1,0,1,421.5,54.0,ravima project boasts elegant towers stories offering bedroom apartment pimpri pune quality specification pleasing design great community living form amenities like wellequipped childrens play park landscape garden,16,6,4,54.0,2,81.48103448275862
pune,maharashtra,india,1.0,tathawade,ravima ventures,newton homes,"brilliant architecture, spectacular designs, marvellous finesse all these are yet a notch lower than what defines7 hills at tathawade . enwrapped in the swarovski glamour, these edifices host 1,2 and 3 bedroom luxury apartments in tathawade, punes burgeoning west.",0,0,0,0,1,0,1,491.0,39.0,brilliant architecture spectacular designs marvellous finesse yet notch lower defines7 hills tathawade enwrapped swarovski glamour edifices host bedroom luxury apartments tathawade punes burgeoning west,12,5,6,54.0,2,81.48103448275862
pune,maharashtra,india,2.0,tathawade,ravima ventures,newton homes,"ravima ventures also offers to create an enthralling living experience that is harmonious and sensitive to the surrounding ecology, and yet facilitates a high-quality lifestyle that is built on robust foundations of universal design and world-class infrastructure. the 400-acre project would be developed in multiple phases and may contain it parks, multiplexes and much more.",0,0,0,0,1,0,1,659.0,51.0,ravima ventures also offers create enthralling living experience harmonious sensitive surrounding ecology yet facilitates highquality lifestyle built robust foundations universal design worldclass infrastructure 400acre project would developed multiple phases may contain parks multiplexes much,13,8,6,54.0,2,81.48103448275862
pune,maharashtra,india,2.0,tathawade,ravima ventures,newton homes,"newton home's – 3 bhk flats, location translates into an advantageous investment in north pune’s most flourishing location. with connectivity to tathwade, pune it hub and the booming industrial belt tathwade near pune is fast transforming into pune’s most sought-after destination.",0,0,0,0,1,0,1,732.0,60.0,newton homes bhk flats location translates advantageous investment north punes flourishing location connectivity tathwade pune hub booming industrial belt tathwade near pune fast transforming punes soughtafter destination,16,6,3,54.0,2,81.48103448275862
pune,maharashtra,india,3.0,tathawade,ravima ventures,newton homes,"newton homes located in the prime locality of tathwade, this residential property is the perfect abode for those who prefer a home away from the madding crowds, and yet want to be connected to the trappings of modern living.",0,0,0,0,0,0,1,809.0,66.0,newton homes located prime locality tathwade residential property perfect abode prefer home away madding crowds yet want connected trappings modern living,8,6,5,54.0,1,62.83238095238095
pune,maharashtra,india,1.0,hadapsar,proviso group,lesiure town,"presenting proviso group, a thoughtfully designed architectural marvel with an essence of greek lifestyle in every aspect, right amidst the flourishing neighbourhood of hadapsar. from seamless connectivity to uninterrupted views of the vicinity, this project provides the best of comfort & conveniences.",0,0,0,0,1,1,1,460.0,45.5,presenting proviso group thoughtfully designed architectural marvel essence greek lifestyle every aspect right amidst flourishing neighbourhood hadapsar seamless connectivity uninterrupted views vicinity project provides best comfort conveniences,14,4,4,75.6375,3,69.04065217391305
pune,maharashtra,india,2.0,hadapsar,proviso group,lesiure town,leisure town are offering 2 & 3 bhk flats in hadapsar – pune. the newly launched project has podium level amenities that speak the language of great design and functionality.,0,0,0,0,1,1,1,734.0,72.5,leisure town offering bhk flats hadapsar pune newly launched project podium level amenities speak language great design functionality,12,3,2,75.6375,3,69.04065217391305
pune,maharashtra,india,2.0,hadapsar,proviso group,lesiure town,"the robust infrastructure, quality materials, thoughtful design, and impressive facades are a hallmark of excellence developed by proviso group . with swimming pool and gym facilities. temples and churches are nearby",0,0,0,0,1,1,1,753.0,73.5,robust infrastructure quality materials thoughtful design impressive facades hallmark excellence developed proviso group swimming pool gym facilities temples churches nearby,12,4,3,75.6375,3,69.04065217391305
pune,maharashtra,india,2.0,hadapsar,ravima ventures,newton homes,"the ravima project boasts 6 elegant towers of 11 & 12 stories, offering 2 & 3 bedroom apartment in hadapsar,pune with the quality specification and great community living in form of amenities like a well-equipped clubhouse and landscape garden.",0,0,0,0,1,0,0,675.0,62.0,ravima project boasts elegant towers stories offering bedroom apartment hadapsar pune quality specification great community living form amenities like wellequipped clubhouse landscape garden,14,5,3,75.6375,1,62.83238095238095
pune,maharashtra,india,3.0,hadapsar,ravima ventures,newton homes,"the newton homes project boasts 6 elegant towers of 11 & 12 stories, offering 3 bedroom apartment in hadapsar,pune with the quality specification and great community living in form of amenities like park and garden",0,0,0,0,1,0,0,917.0,84.0,newton homes project boasts elegant towers stories offering bedroom apartment hadapsar pune quality specification great community living form amenities like park garden,13,5,3,75.6375,1,62.83238095238095
pune,maharashtra,india,2.0,kiwale,unique properties,k ville,"presenting k ville, a thoughtfully designed architectural marvel with an essence of greek lifestyle in every aspect, right amidst the flourishing neighbourhood of kiwale. from seamless connectivity. here, discover various unique lifestyle avenues catering to the needs of every age group within a vibrant community of like-minded residents.",1,0,0,0,1,1,0,670.0,54.14,presenting ville thoughtfully designed architectural marvel essence greek lifestyle every aspect right amidst flourishing neighbourhood kiwale seamless connectivity discover various unique lifestyle avenues catering needs every age group within vibrant community likeminded residents,15,5,6,69.665,3,69.04065217391305
